t_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms
0,8,0,20,4,0,0
0.05,8.19928298685782,0.00185434989140388,20.0072316844396,3.97144362613485,0.0741796399239148,0.289278184107539
0.1,8.39715721580595,0.00741880641273966,20.0289288539862,3.94365843737903,0.148409831831397,0.578618482352515
0.15,8.59366256689923,0.0166967354590045,20.0650944722347,3.91669742522449,0.222724177414267,0.868015131250371
0.2,8.78884159485006,0.0296931942899803,20.115731202219,3.89061460780864,0.297156745751683,1.15746186093475
0.25,8.98273958390909,0.0464149573588985,20.1808413794123,3.86546517287743,0.371742172357755,1.4469518270063
0.3,9.17540461005621,0.0668705472006553,20.2604269811747,3.84130562740341,0.446515762634617,1.73647753647322
0.35,9.36688761086058,0.0910702706181319,20.3544895923322,3.81819395490804,0.521513600472226,2.02603076682264
0.4,9.55724246342275,0.119026260443807,20.4630303665131,3.79618978162414,0.59677266280041,2.31560247713928
0.45,9.74652607087151,0.150752523195938,20.5860499828183,3.7753545527351,0.672330940972931,2.6051827100416
0.5,9.93479845795253,0.18626499299466,20.7235485973285,3.75575172004339,0.748227569948953,2.89476048303248
0.55,10.1221228763167,0.225581592154027,20.8755257888819,3.7374469425535,0.824502966335502,3.18432366765617
0.6,10.3085659201945,0.268722298921952,21.0419804984668,3.72050830160668,0.901198976467087,3.47385885460962
0.65,10.4941976532277,0.315709222901943,21.2229109614751,3.70500653237778,0.978359035827233,3.76335120266747
0.7,10.679091747327,0.366566688759371,21.4183146319455,3.69101527374117,1.05602834126336,4.05278426893695
0.75,10.8633256345278,0.421321328891648,21.6281880977943,3.67861133873625,1.13425403761348,4.34213981755053
0.8,11.046980672935,0.480002185827288,21.8525269858721,3.66787500811512,1.2130854205529,4.6313976034176
0.85,11.2301423279801,0.54264082521446,22.0913258555036,3.65889034974002,1.29257415768442,4.92053512707508
0.9,11.4129003703574,0.609271460366817,22.3445780789516,3.65174556691828,1.37277453013872,5.20952735598106
0.95,11.5953490921716,0.679931089454424,22.6122757069952,3.64653337912112,1.45374369722624,5.49834640675997
1,11.7775875430099,0.754659646562234,22.8944093175102,3.64335143893252,1.53554198699004,5.78696118190279
1.05,11.9597197878563,0.833500167989508,23.1909678445884,3.64230278951675,1.61823321585355,6.07533695321314
1.1,12.1418551889897,0.916498975332641,23.5019383853105,3.64349636737949,1.70188504093934,6.36343488282331
1.15,12.3241087142625,1.00370587708303,23.8273059807846,3.64704755572489,1.78656934905556,6.65121147082476
1.2,12.5066012744327,1.09517439068274,24.1670533674635,3.65307879427452,1.8723626868031,6.9386179163942
1.25,12.6894600925317,1.19096198721543,24.521160694034,3.66172025200299,1.95934673674399,7.22559937665743
1.3,12.8728191085868,1.29113036116958,24.8896051983044,3.67311056983832,2.04760884507752,7.5120941043077
1.35,13.0568194233866,1.3957457279963,25.2723608374744,3.6873976809415,2.13724260677707,7.7980324410424
1.4,13.241609785367,1.50487915249334,25.6693978639036,3.70473971666538,2.22834851461199,8.08333563902695
1.45,13.4273471251118,1.61860691137871,26.0806823369655,3.72530600661964,2.3210346788652,8.36791447662093
1.5,13.6141971423873,1.73701089376377,26.5061755597057,3.74927818131082,2.41541762477351,8.65166762723844
1.55,13.8023349510418,1.86017904358696,26.9458334267457,3.77685138540297,2.51162317464053,8.93447973113173
1.6,13.9919457874807,1.98820584840523,27.3996056670974,3.80823560847803,2.60978742101035,9.21621910867767
1.65,14.1832257887197,2.1211928792302,27.8674349621448,3.84365713786153,2.71005779595965,9.49673503992421
1.7,14.3763828461527,2.2592493862923,28.3492559148778,3.88336013401733,2.81259423904303,9.77585451814362
1.75,14.5716375410432,2.40249295564316,28.8449938413474,3.92760832232779,2.91757046208421,10.053378364291
1.8,14.7692241671948,2.55105023125351,29.3545633490418,3.97668678447547,3.02517530192127,10.3290765638846
1.85,14.9693918450333,2.70505770655978,29.8778666592157,4.03090381625856,3.13561414103298,10.6026826572565
1.9,15.172405729099,2.86466258800877,30.4147916208757,4.09059279379222,3.24911035872679,10.8738869779326
1.95,15.3785483071729,3.03002373067416,30.9652093528357,4.15611395277175,3.36590674940759,11.1423284921977
2,15.5881207832028,3.20131264193087,31.5289714367786,4.22785593024952,3.48626680530382,11.407584946979
2.05,15.8014445267738,3.37871454268864,32.1059065684395,4.30623683742782,3.61047570318447,11.6691609865931
2.1,16.0188625575348,3.56242946568381,32.6958165560124,4.3917045146554,3.73884075022164,11.9264738593863
2.15,16.2407410116078,3.75267335523388,33.29847153536,4.48473545214397,3.87169092291356,12.178836317954
2.2,16.4674371137894,3.94964380033295,33.9135361846346,4.58375418257259,4.00697684044063,12.4209979994486
2.25,16.6991284929062,4.15332295479804,34.5402168761271,4.68436147291141,4.13984583519382,12.6431177481926
2.3,16.9358666663043,4.36357523889339,35.1774757766986,4.78558523276909,4.26991654525497,12.8441534370622
2.35,17.177676764149,4.58026257503792,35.8242626346323,4.88719861622659,4.39726327633189,13.0242685252673
2.4,17.4245705023882,4.80324921349044,36.4795317405509,4.98889163446966,4.52190599551516,13.1834842981181
2.45,17.6765353487932,5.0323945669438,37.1422219686013,5.09000284218684,4.64363664828248,13.3211776442075
2.5,17.9335373341123,5.26755672125495,37.8112682449679,5.13142232725272,4.70854245182506,13.2852599853647
2.55,18.1926413068366,5.50594681336644,38.4781403352337,5.17702772488743,4.77522733737858,13.2436999291021
2.6,18.4540505279666,5.74765297440595,39.1425577772568,5.22743322417759,4.84449942510489,13.1986653570322
2.65,18.7179975083121,5.99280144784687,39.8043428902242,5.28243940329926,4.9163797704333,13.1500967260072
2.7,18.9847021974087,6.24151647419194,40.4633069641561,5.34188160753001,4.99089361667347,13.0979113525089
2.75,19.254381186104,6.4939292974024,41.1192728403425,5.40556043874251,5.06807337742675,13.0420300790989
2.8,19.5272413147522,6.7501727639157,41.772059336234,5.47329314153096,5.14795262040537,12.982359030813
2.85,19.803480470366,7.01038118913176,42.4214803370998,5.5449144445682,5.23055889746116,12.9187916394146
2.9,20.0832886428953,7.27468975199053,43.0673441979326,5.62028273849982,5.31590540928877,12.8512089555347
2.95,20.3668491905195,7.54323425243369,43.7094536324315,5.69927308337371,5.40400047805667,12.7794782817725
3,20.6543394163513,7.81615086323128,44.3476047922728,5.78177028731955,5.49485006547294,12.7034544554873
3.05,20.9459310546888,8.09357601287334,44.9815866571475,5.86766767204105,5.58845710852977,12.6229799665771
3.1,21.2417906985121,8.37564623808891,45.6111804380668,5.95686581818491,5.68482077754105,12.5378850828749
3.15,21.54208016324,8.66249800021782,46.236158989071,6.04927122172054,5.78393566841032,12.4479880249683
3.2,21.8469567821894,8.95426746213012,46.8562862294804,6.14479485482965,5.88579092910808,12.3530952125728
3.25,22.1565731327041,9.25108972945687,47.4713155364409,6.23977213888213,5.98693586878851,12.2459772851113
3.3,22.4709019199007,9.55293041226549,48.0806454087913,6.33328221666044,6.08652991629449,12.125167629291
3.35,22.7898702168829,9.85971325093216,48.683601550996,6.4253443521522,6.18462449507697,11.991080106734
3.4,23.11340632176,10.1713645988974,49.2795306652854,6.51598809434193,6.28127274234356,11.8441407268546
3.45,23.441440244863,10.4878135128629,49.8678010453039,6.60525218563211,6.37652968187478,11.6847870729574
3.5,23.7739041398966,10.8089918502986,50.4478031373147,6.69318341700029,6.4704523427174,11.5134675774632
3.55,24.1107326771986,11.1348343714044,51.0189500613246,6.77983546255936,6.56309981828252,11.3306406441276
3.6,24.4518633587875,11.4652788424747,51.5806780846166,6.865267720935,6.65453326353544,11.1367736241158
3.65,24.7972367760968,11.8002661375693,52.1324470407091,6.9495441847104,6.74481583057512,10.9323416598317
3.7,25.1467968122001,12.1397403354593,52.6737406875856,7.03273235282611,6.8340125448932,10.717826415445
3.75,25.5004907909191,12.4836488089714,53.2040670000787,7.11490219481112,6.92219012598686,10.493714716265
3.8,25.8582692136866,12.8319420269604,53.7229579451727,7.19611063296189,7.00940564690663,10.2604791476897
3.85,26.2200849706921,13.1845729709811,54.2299686216592,7.27639611377745,7.09570248192231,10.0185721007309
3.9,26.5858928719025,13.5414968038491,54.7246768088848,7.35579692731001,7.18112448135008,9.76844824084948
3.95,26.9556496305186,13.9026708880856,55.2066830519517,7.43435086507174,7.26571575738666,9.5105633715034
4,27.3293137419285,14.2680547314129,55.6756109062242,7.51208958933715,7.34951685053003,9.24538591293402
4.05,27.7068450753453,14.637609768301,56.1311076811505,7.58903819227508,7.43256571688858,8.97339266232818
4.1,28.0882042667112,15.0112988706347,56.5728460315066,7.66508898937052,7.51475934677163,8.69554086331063
4.15,28.4733201190263,15.3890513786359,57.0006426389495,7.73921830028847,7.59501226838194,8.41614227641085
4.2,28.8620945541069,15.7707686242621,57.4144430967154,7.81145423625949,7.67337596270582,8.13571319568376
4.25,29.2544360852326,16.1563600779674,57.8141985046914,7.88192196715881,7.75000509269279,7.8543562405459
4.3,29.65025916879,16.5457425668174,58.1998647554342,7.95073409427917,7.8250395393402,7.57216081112179
4.35,30.0494835934863,16.9388395737363,58.5714019195596,8.01799153525117,7.89860587615255,7.2892049281978
4.4,30.4520339284598,17.3355806039412,58.9287737189013,8.0837847895392,7.97081861923229,7.00555686929297
4.45,30.857839031311,17.7359006107651,59.2719470747217,8.14819507576389,8.0417813556168,6.72127654425278
4.5,31.2668316219203,18.1397394675167,59.6008917199319,8.21129611661582,8.11158734413439,6.4364167224199
4.55,31.678947957254,18.54704147817,59.9155798738259,8.27315563944846,8.1803209759149,6.15102426533401
4.6,32.0941275271108,18.957754989156,60.2159859701942,8.33383529679704,8.2480597467085,5.86514101550238
4.65,32.5123127658442,19.3718320624349,60.5020864230488,8.39339144116124,8.31487477312479,5.5788044379481
4.7,32.9334488321755,19.7892281491685,60.7738594229655,8.45187697688963,8.38083057491369,5.29204824823661
4.75,33.3574834488628,20.2099018008201,61.0312847676594,8.5093413899557,8.44598706400026,5.00490311256141
4.8,33.7843667198969,20.6338144779984,61.2743437209635,8.56583050199133,8.5104007481561,4.71739706238332
4.85,34.2140509555023,21.0609303878494,61.5030188885873,8.62138679178572,8.57412502853629,4.42955578694988
4.9,34.6464905124168,21.4912163356271,61.7172941075673,8.67604968761617,8.63721047159376,4.14140289026485
4.95,35.0816416481412,21.9246415892526,61.9171543477818,8.72985583440085,8.69970505696739,3.85296011741361
5,35.5194623879938,22.3611777556976,62.1025856241035,8.78283933923247,8.76165440280351,3.56424755439848
5.05,35.9599124039666,22.8007986680976,62.2735749179563,8.83503199847254,8.82310196983207,3.27528380501351
5.1,36.4029529045368,23.2434802825638,62.4301101072056,8.88646350928009,8.88408924542007,2.98608614777449
5.15,36.8485465347197,23.6892005837203,62.5721799034514,8.93716166819782,8.94465590876105,2.69667067549629
5.2,37.2966572857785,24.137939498054,62.6997737959134,8.98715255921116,9.00483997832845,2.4070524197587
5.25,37.7472504141214,24.5896788142164,62.8128820012032,9.03646073352179,9.06467794272663,2.11724546221316
5.3,38.200292369023,25.0444021094776,62.9114954183688,9.08510938312848,9.12420487612118,1.82726303444627
5.35,38.6557507289118,25.5020946815925,62.9956055886784,9.13312051018055,9.18345453952687,1.53711760792627
5.4,39.1135941460589,25.9627434854079,63.0652046596828,9.18051509395744,9.24245946938519,1.24682097541133
5.45,39.5737922995919,26.4263370736136,63.1202853531607,9.22731325723257,9.3012510550825,0.95638432509005
5.5,40.036315856848,26.8928655411332,63.1608409366153,9.27353443369902,9.3598596073534,0.66581830865485
5.55,40.5011364431582,27.3623204727549,63.1868651980468,9.31919753807402,9.41831441989,0.375133104476946
5.6,40.9682266202359,27.8346948937295,63.1983524237853,9.36432114046302,9.47664382694646,0.0843384770587255
5.65,41.4375598734247,28.3099832232171,63.1952973792297,9.40892364656204,9.53487526029582,-0.206556166012344
5.7,41.9091106081342,28.7881812306482,63.1776952923974,9.45302348532115,9.59303530957285,-0.497541718291604
5.75,42.3828541558824,29.2692859952851,63.1455418402645,9.49663930579943,9.65114979083045,-0.788609318428831
5.8,42.8587667904495,29.7532958695343,63.0988331379486,9.53979018513363,9.70924382905913,-1.07975029218923
5.85,43.3368257547537,30.2402104468736,63.0375657308783,9.58249584984747,9.76734196148472,-1.37095609062954
5.9,43.8170093006828,30.7300305358545,62.961736590459,9.62477707273492,9.8254682979829,-1.66221819344053
5.95,44.2992952503808,31.2227560366456,62.8713536886245,9.66650938634815,9.88344141489221,-1.95249945763451
6,44.7836397484823,31.7183559604082,62.7665859133283,9.70706738586603,9.94036752819265,-2.23720711118192
6.05,45.2699818428017,32.2167738821024,62.6477347024653,9.74641632294872,9.99615866325105,-2.51581038017544
6.1,45.7582614889199,32.7179525535255,62.5151096486377,9.78457166118353,10.0507932217867,-2.78812741288473
6.15,46.2484193336729,33.221833473596,62.3690301411612,9.82154646435226,10.1042438832738,-3.05395387124118
6.2,46.7403966794873,33.7283567063857,62.2098261655177,9.85735394148256,10.1564804970986,-3.31306682909192
6.25,47.2341355070678,34.237460774659,62.0378392361374,9.89200820604503,10.20747230591,-3.56523390489951
6.3,47.7295785374851,34.7490827032762,61.8534223020814,9.92552474333258,10.2571902174468,-3.81023017090755
6.35,48.2266692974866,35.2631581104587,61.6569393651265,9.95792027058995,10.3056071064514,-4.04783850886758
6.4,48.7253521773142,35.7796213130771,61.4487650796064,9.98338562085222,10.3466590931072,-4.27535462346489
6.45,49.2252815430416,36.2981044345234,61.2294088325619,9.93654792917748,10.3124648428231,-4.46296808376393
6.5,49.7228919160326,36.8148971354235,61.000848119659,9.89000340808961,10.2782752980969,-4.64164728135466
6.55,50.2181959666562,37.3299963902898,60.7635350842246,9.84401447331196,10.2443161905515,-4.81137868362369
6.6,50.7112198951632,37.8434107770176,60.5179220962007,9.79882988330021,10.2107986070474,-4.97217504965994
6.65,51.201995394895,38.3551525562718,60.2644637808415,9.75466926275923,10.1779245202753,-5.1240882148689
6.7,51.6905658828669,38.8652461369661,60.0036101486061,9.71170403389389,10.1458887729706,-5.26723321721734
6.75,52.1769901053514,39.3737320213701,59.7358021798517,9.67010504393408,10.1148615660455,-5.4017260148045
6.8,52.6613359296272,39.8806597992227,59.4614745495023,9.63002902821635,10.0849982652284,-5.52768947265045
6.85,53.1436790318725,40.3860868356034,59.1810555680227,9.59161765316327,10.0564405203649,-5.64525241737604
6.9,53.6241021457361,40.8900775874046,58.8949668843944,9.55499795312186,10.0293166039343,-5.754547990406
6.95,54.1026943326884,41.3927029363766,58.6036232716329,9.52028282426741,10.003741803647,-5.85571215753685
7,54.5795502770165,41.8940395415042,58.3074324870062,9.48757156042047,9.97981885605437,-5.9488823728699
7.05,55.0547696075654,42.3941692128147,58.0067951992117,9.45695041723506,9.95763840938268,-6.03419639338531
7.1,55.5284562476505,42.893178308122,57.7021049749549,9.42849319283464,9.93727950510167,-6.11179123908507
7.15,56.000717793968,43.3911571536812,57.393748317626,9.40226181456086,9.91881006902394,-6.18180229262307
7.2,56.4716649248145,43.8881994892631,57.082104751074,9.37830692302802,9.90228740398399,-6.24436253162681
7.25,56.9414108374829,44.3844019377548,56.7675469418231,9.35666844612236,9.88775867734773,-6.29960188645861
7.3,57.4100707143357,44.8798634990522,56.4504408534364,9.33737615693478,9.87526139774138,-6.34764671592433
7.35,57.8777612167556,45.3746850677241,56.1311459271129,9.32045021085921,9.86482387645396,-6.38861939337744
7.4,58.3446000059329,45.8689689736985,55.8100152829833,9.30590165822317,9.85646566995531,-6.42263799575155
7.45,58.8107052892704,46.3628185450404,55.4873959369453,9.29373292984128,9.85019800087805,-6.44981608825259
7.5,59.2761953910528,46.856337691755,55.1636290282473,9.28393829379945,9.8460241556379,-6.47026259772501
7.55,59.7411883459445,47.349630509457,54.8390500533812,9.2765042825927,9.84393985761335,-6.48408176804786
7.6,60.205801513836,47.8428009016916,54.5139891021806,9.27141009045775,9.84393361547569,-6.49137319129519
7.65,60.6701512145495,48.335952219671,54.1887710923371,9.26862794137192,9.84598704685836,-6.49223190879046
7.7,61.1343523809394,48.8291869181954,53.8637159988423,9.26812342873784,9.85007517808453,-6.48674857658009
7.75,61.5985182289724,49.3226062265683,53.5391390751421,9.26985582824785,9.85616672113871,-6.47500969023346
7.8,62.0627599434474,49.8163098333664,53.2153510630452,9.27377838582957,9.864224329477,-6.45709786423239
7.85,62.5271863781102,50.3103955840114,52.8926583886662,9.27983858292072,9.87420483462517,-6.43309216153484
7.9,62.9919037690292,50.8049591901807,52.57136334191,9.28797838161395,9.88605946581963,-6.40306846917555
7.95,63.4570154602247,51.3000939502104,52.2517642372078,9.29813445245506,9.89973405520486,-6.3670999159967
8,63.9226216406854,51.7958904797666,51.9341555534172,9.31023838787524,9.91516923131762,-6.32525732877855
8.05,64.3888190920504,52.2924364521986,51.6188280509831,9.32421690439262,9.93230060376248,-6.27760972316203
8.1,64.8557006650662,52.7898160497544,51.3060690456623,9.3399920028275,9.95105880042869,-6.22422510337866
8.15,65.3233552805129,53.2881099398335,50.9961623006387,9.35748156538421,9.97136919565795,-6.16517113447618
8.2,65.7918676600283,53.7873949446437,50.6893880841393,9.37659945939727,9.99315214516989,-6.10051577995806
8.25,66.2613177950948,54.2877434684097,50.3860233477944,9.39725504358218,10.0163236658601,-6.03032817238003
8.3,66.7317810996817,54.7892236764572,50.0863414079165,9.41935348956192,10.0407954311197,-5.95467941614695
8.35,67.2033283137544,55.2918993881568,49.790611781933,9.44238733185532,10.0660389836323,-5.87338874486225
8.4,67.6760051718159,55.795808394464,49.4991126012088,9.46454147199865,10.090131686911,-5.78549449882782
8.45,68.1497680169384,56.3008938213076,49.2121690626586,9.48582893351046,10.1131002278594,-5.69119688324503
8.5,68.6245738279639,56.8071001213581,48.9300962155487,9.5062621267249,10.1349709834786,-5.59070154928042
8.55,69.1003801893407,57.3143730576956,48.6531986966867,9.52585286931549,10.155769987928,-5.48421929355152
8.6,69.5771452620809,57.8226596859107,48.3817704807797,9.54461241043433,10.1755229027759,-5.37196575200041
8.65,70.0548277559996,58.3319083347943,48.1160946462285,9.56255145777137,10.1942549902312,-5.25416108869533
8.7,70.5333869033674,58.8420685857583,47.856443156596,9.57968020690883,10.2119910891612,-5.13102968012138
8.75,71.0127824340763,59.3530912511243,47.6030766579627,9.59600837241306,10.2287555937215,-5.00279979553616
8.8,71.4929745523928,59.8649283514045,47.3562442923497,9.61154522016931,10.2445724344342,-4.86970327397615
8.85,71.9739239153501,60.3775330916956,47.1161835273637,9.62629960052379,10.2594650615702,-4.73197519850555
8.9,72.4555916128091,60.8908598372964,46.8831200021855,9.64027998185125,10.2734564306994,-4.58985356830057
8.95,72.9379391492016,61.404864088654,46.6572673899962,9.65349448421621,10.2865689902895,-4.44357896916139
9,73.420928426953,61.9195024557394,46.4388272769054,9.66595091283998,10.2988246712408,-4.29339424303912
9.05,73.9045217315677,62.4347326319459,46.2279890574145,9.67765679112649,10.3102448782565,-4.13954415715909
9.1,74.3886817183513,62.9505133676003,46.0249298464229,9.68861939303527,10.3208504829556,-3.98227507331247
9.15,74.87337140073,63.4668044431707,45.8298144077533,9.69884577462213,10.330661818642,-3.82183461787795
9.2,75.3585541401242,63.9835666422533,45.6427950991461,9.7083428045963,10.3396986766493,-3.65847135312317
9.25,75.844193637322,64.5007617244137,45.4640118336461,9.71711719376741,10.3479803041872,-3.49243445032182
9.3,76.3302539252953,65.0183523979571,45.293592057276,9.72517552327786,10.3555254036172,-3.32397336520801
9.35,76.8166993633953,65.5363022926959,45.1316507428695,9.73252427153494,10.3623521330886,-3.15333751627363
9.4,77.3034946328609,66.0545759327825,44.9782903999071,9.7391698397742,10.3684781084685,-2.98077596639807
9.45,77.7906047335691,66.5731387096687,44.8336011001778,9.74511857619999,10.373920406501,-2.8065371082824
9.5,78.2779949819571,67.0919568552533,44.6976605190642,9.75037679866221,10.3786955691286,-2.63086835414217
9.55,78.7656310100401,67.6109974152729,44.5705339922278,9.75495081583951,10.3828196089145,-2.45401583009474
9.6,79.2534787654509,68.1302282229902,44.4522745874487,9.75884694690949,10.3863080154971,-2.27622407565807
9.65,79.7415045124249,68.6496178732295,44.3429231913535,9.76207153969506,10.3891757630152,-2.09773574875903
9.7,80.2296748336542,69.1691356968061,44.2425086107482,9.76463098728443,10.3914373184345,-1.91879133662962
9.75,80.7179566329347,69.6887517353937,44.1510476882513,9.76653174312923,10.3931066507105,-1.73962887295018
9.8,81.20631713853,70.2084367168688,44.0685454319056,9.76778033463186,10.3941972407205,-1.56048366157902
9.85,81.6947239071778,70.7281620311702,43.9949951584335,9.76838337523914,10.3947220918952,-1.3815880071883
9.9,82.1831448286633,71.2478997067051,43.9303786497803,9.7683475750649,10.3946937414828,-1.20317095310634
9.95,82.6715481308885,71.7676223873341,43.8746663225804,9.76767975006906,10.3941242723757,-1.02545802664747
10,83.1599023853641,72.2873033099595,43.8278174101636,9.76638682982584,10.3930253254324,-0.848670992190967
10.05,83.6481765130561,72.8069162827402,43.7897801567086,9.76447586391774,10.3914081122254,-0.673027612252018
10.1,84.1363397905178,73.326435663954,43.7604920231392,9.76195402699626,10.389283428148,-0.498741416768962
10.15,84.6243618562429,73.8458363415227,43.7398799043456,9.75882862255412,10.3866616658136,-0.326021480812723
10.2,85.1122127171762,74.3650937132125,43.7278603573059,9.7551070854573,10.3835528286826,-0.155072210906697
10.25,85.5998627553205,74.8841836675213,43.7243398396731,9.75079698328811,10.3799665448548,0.0139068598721886
10.3,86.0872827343821,75.403082565257,43.7292149583841,9.74590601655398,10.3759120809644,0.180721267857367
10.35,86.5744438063999,75.9217672218131,43.7423727278402,9.74044201781868,10.3713983561216,0.345181805684133
10.4,87.0613175183053,76.4402148901409,43.7636908372036,9.7344129498154,10.3664339558443,0.507104699987335
10.45,87.547875818363,76.9584032444169,43.793037926346,9.7278269026028,10.361027145927,0.666311779799367
10.5,88.0340910624478,77.4763103644012,43.830273869983,9.72069208982689,10.3551858861996,0.822630635557515
10.55,88.5199360201128,77.99391472048,43.8752500695224,9.71301684415277,10.3489178441287,0.975894768644275
10.6,89.0053838804103,78.5111951593835,43.9278097521518,9.70480961193115,10.3422304082204,1.12594373139825
10.65,89.4903988352624,79.0281122861765,43.9877882766867,9.69544786262943,10.3338791997929,1.27262327769172
10.7,89.9748881271572,79.5445113857223,44.0550134521452,9.68371789272993,10.3213503162169,1.41578574764997
10.75,90.4587299762345,80.0601719865989,44.1293058805851,9.66954882472317,10.3042995820794,1.55529055717031
10.8,90.9418021554304,80.5748616037412,44.2104793113402,9.65292852100185,10.2824626696312,1.69100414267163
10.85,91.4239816882407,81.088333213462,44.2983409846572,9.63383983152172,10.255520976683,1.8227996735149
10.9,91.9051446661325,81.6003222934637,44.3926919651842,9.61226278410227,10.2230917386112,1.95055695047201
10.95,92.3851661627277,82.1105434434063,44.4933274734249,9.58817786973538,10.1847229549771,2.0741624123541
11,92.863920465303,82.6186870088095,44.6000372189475,9.56157423042879,10.1398959910654,2.19350919345261
11.05,93.3412816419617,83.1244155813329,44.7126057367991,9.53245474016131,10.0880174430495,2.30849718898229
11.1,93.8171243577134,83.6273599615889,44.8308127270325,9.50084144461823,10.0284068532995,2.41903311286377
11.15,94.2913250055584,84.1271144547878,44.9544333969064,9.46678280703413,9.96028225548942,2.52503054691976
11.2,94.763763256982,84.6232313826956,45.0832388053352,9.43036335207152,9.88274322902362,2.62640998166857
11.25,95.2343241704627,85.1152146796495,45.2169962091722,9.39171649243796,9.79475116124721,2.72309884891711
11.3,95.7029010418164,85.6025124269943,45.3554694109223,9.35104157261832,9.69510649801659,2.81503154636373
11.35,96.1693992395269,86.0845081736446,45.4984191074883,9.30862647991836,9.58242296100164,2.90214945441352
11.4,96.6337413450513,86.5605108983309,45.6456032395685,9.26487755691105,9.45509911183222,2.98440094537206
